Name	Net Worth	Age	Residence	Source
Mortimer Zuckerman	$2.7 B	79	New York, NY	real estate, media
Riley Bechtel	$2.6 B	65	San Francisco, CA	engineering, construction
Stephen Bechtel, Jr.	$2.6 B	91	San Francisco, CA	engineering, construction
Robert Duggan	$2.6 B	72	Clearwater, FL	pharmaceuticals
Doris Fisher	$2.6 B	85	San Francisco, CA	Gap
H. Wayne Huizenga	$2.6 B	79	Fort Lauderdale, FL	investments
Daniel Loeb	$2.6 B	55	New York, NY	hedge funds
David Murdock	$2.6 B	94	Ventura, CA	Dole, real estate
Pat Stryker	$2.6 B	61	Fort Collins, CO	medical equipment
William Wrigley, Jr.	$2.6 B	53	North Palm Beach, FL	chewing gum
Anita Zucker	$2.6 B	65	Charleston, SC	chemicals
Tom Benson	$2.5 B	89	New Orleans, LA	New Orleans Saints
David Bonderman	$2.5 B	74	Fort Worth, TX	private equity
John Brown	$2.5 B	82	Portage, MI	medical equipment
Bharat Desai	$2.5 B	64	Fisher Island, FL	IT consulting
Don Hankey	$2.5 B	73	Malibu, CA	auto loans
Joshua Harris	$2.5 B	52	New York, NY	private equity
Bill Haslam	$2.5 B	58	Knoxville, TN	truck stops
Henry Hillman	$2.5 B	98	Pittsburgh, PA	investments
James Irsay	$2.5 B	57	Carmel, IN	Indianapolis Colts
Stephen Mandel, Jr.	$2.5 B	61	Greenwich, CT	hedge funds
C. Dean Metropoulos	$2.5 B	70	Palm Beach, FL	investments
Henry Nicholas, III.	$2.5 B	57	Newport Coast, CA	semiconductors
Marc Rowan	$2.5 B	54	New York, NY	private equity
Phillip Ruffin	$2.5 B	82	Las Vegas, NV	casinos, real estate
Robert Smith	$2.5 B	54	Austin, TX	private equity
Ty Warner	$2.5 B	72	Oak Brook, IL	real estate, plush toys
George Bishop	$2.4 B	79	The Woodlands, TX	oil & gas
Peter Buck	$2.4 B	86	Danbury, CT	Subway sandwich shops
William Conway, Jr.	$2.4 B	67	McLean, VA	private equity
Daniel D'Aniello	$2.4 B	70	Vienna, VA	private equity
Ray Davis	$2.4 B	75	Dallas, TX	pipelines
Bill Gross	$2.4 B	73	Laguna Beach, CA	investments
John Henry	$2.4 B	67	Boca Raton, FL	sports
Sean Parker	$2.4 B	37	New York, NY	Facebook
Bob Parsons	$2.4 B	66	Scottsdale, AZ	web hosting
Jean (Gigi) Pritzker	$2.4 B	54	Chicago, IL	hotels, investments
Penny Pritzker	$2.4 B	57	-	hotels, investments
David Rubenstein	$2.4 B	67	Bethesda, MD	private equity
Patrick Ryan	$2.4 B	79	Winnetka, IL	insurance
Julio Mario Santo Domingo, III.	$2.4 B	31	New York, NY	beer
Thomas Secunda	$2.4 B	62	Croton-on-Hudson, NY	Bloomberg LP
Alexander Spanos	$2.4 B	93	Stockton, CA	real estate, San Diego Chargers
Warren Stephens	$2.4 B	60	Little Rock, AR	investment banking
Mark Walter	$2.4 B	56	Chicago, IL	finance
Denise York	$2.4 B	66	Youngstown, OH	San Francisco 49ers
John Arrillaga	$2.3 B	80	Portola Valley, CA	real estate
Noam Gottesman	$2.3 B	55	New York, NY	hedge funds
Johnelle Hunt	$2.3 B	85	Fayetteville, AR	trucking
Edward Lampert	$2.3 B	54	Miami Beach, FL	Sears
Jay Paul	$2.3 B	69	San Francisco, CA	real estate
Richard Peery	$2.3 B	78	Palo Alto, CA	real estate
John Pritzker	$2.3 B	64	San Francisco, CA	hotels, investments
Michael Rubin	$2.3 B	44	Bryn Mawr, PA	online retail
E. Joe Shoen	$2.3 B	67	Phoenix, AZ	U-Haul
Thomas Siebel	$2.3 B	64	Woodside, CA	business software
Jon Stryker	$2.3 B	58	Kalamazoo, MI	medical equipment
Meg Whitman	$2.3 B	60	Atherton, CA	eBay
Scott Cook	$2.2 B	64	Woodside, CA	software
Jim Davis	$2.2 B	57	Cockeysville, MD	staffing & recruiting
Judy Faulkner	$2.2 B	73	Madison, WI	health IT
John Fisher	$2.2 B	55	San Francisco, CA	Gap
Rakesh Gangwal	$2.2 B	63	Miami, FL	airline
Stanley Hubbard	$2.2 B	83	St. Paul, MN	DirecTV
Brad Kelley	$2.2 B	60	Franklin, TN	tobacco
Joe Mansueto	$2.2 B	60	Chicago, IL	investment research
Stewart Rahr	$2.2 B	71	New York, NY	drug distribution
Jeff Rothschild	$2.2 B	62	Palo Alto, CA	Facebook
Paul Singer	$2.2 B	72	New York, NY	hedge funds
Ted Turner	$2.2 B	78	Atlanta, GA	cable television
John Tyson	$2.2 B	63	Springdale, AR	food processing
Jerry Yang	$2.2 B	48	Los Altos Hills, CA	Yahoo
S. Daniel Abraham	$2.1 B	92	Palm Beach, FL	Slim-Fast
George Argyros	$2.1 B	80	Newport Beach, CA	real estate, investments
Ron Baron	$2.1 B	73	New York, NY	money management
Nick Caporella	$2.1 B	81	Plantation, FL	beverages
James Coulter	$2.1 B	57	San Francisco, CA	private equity
Gerald Ford	$2.1 B	72	Dallas, TX	banking
Gordon Getty	$2.1 B	83	San Francisco, CA	Getty Oil
Alec Gores	$2.1 B	64	Beverly Hills, CA	private equity
Joseph Grendys	$2.1 B	55	Chicago, IL	poultry
John Kapoor	$2.1 B	73	Phoenix, AZ	healthcare
Thomas Lee	$2.1 B	73	New York, NY	private equity
Jeffrey Lorberbaum	$2.1 B	62	Chattanooga, TN	flooring
Arturo Moreno	$2.1 B	70	Phoenix, AZ	billboards, Anaheim Angels
Daniel Pritzker	$2.1 B	57	Marin County, CA	hotels, investments
Dan Snyder	$2.1 B	52	Potomac, MD	Washington Redskins
Evan Spiegel	$2.1 B	26	Los Angeles, CA	Snapchat
Ronald Wanek	$2.1 B	75	Saint Petersburg, FL	furniture
William Young	$2.1 B	76	Ypsilanti, MI	plastics
Todd Christopher	$2 B	54	Clearwater, FL	hair care products
Chase Coleman, III.	$2 B	41	New York, NY	hedge fund
James Dinan	$2 B	57	New York, NY	hedge funds
Glenn Dubin	$2 B	60	New York, NY	hedge funds
James France	$2 B	72	Daytona Beach, FL	Nascar, racing
Jonathan Nelson	$2 B	60	Providence, RI	private equity
Peter Peterson	$2 B	90	New York, NY	investments
David Walentas	$2 B	78	New York, NY	real estate
Leslie Alexander	$1.9 B	73	Houston, TX	Houston Rockets
James Clark	$1.9 B	73	Palm Beach, FL	Netscape, investments
Frank Fertitta, III.	$1.9 B	55	Las Vegas, NV	casinos, Ultimate Fighting Championship
Lorenzo Fertitta	$1.9 B	48	Las Vegas, NV	casinos, Ultimate Fighting Championship
W. Herbert Hunt	$1.9 B	88	Dallas, TX	oil
Bruce Karsh	$1.9 B	61	Los Angeles, CA	private equity
Howard Marks	$1.9 B	70	New York, NY	private equity
Drayton McLane, Jr.	$1.9 B	80	Temple, TX	Wal-Mart, logistics
Kavitark Ram Shriram	$1.9 B	60	Menlo Park, CA	venture capital, Google
Mark Stevens	$1.9 B	57	Atherton, CA	venture capital
Glen Taylor	$1.9 B	75	Mankato, MN	printing
Elaine Wynn	$1.9 B	74	Las Vegas, NV	casinos, hotels
Richard Yuengling, Jr.	$1.9 B	74	Pottsville, PA	beer
Louis Bacon	$1.8 B	60	Oyster Bay, NY	hedge funds
Edward Bass	$1.8 B	71	Fort Worth, TX	oil, investments
Lee Bass	$1.8 B	60	Fort Worth, TX	oil, investments
Sid Bass	$1.8 B	75	Fort Worth, TX	oil, investments
Alexandra Daitch	$1.8 B	54	Old Lyme, CT	Cargill
Eric Lefkofsky	$1.8 B	47	Glencoe, IL	Groupon
Jeffrey Lurie	$1.8 B	65	Wynnewood, PA	Philadelphia Eagles
Sarah MacMillan	$1.8 B	63	Los Angeles, CA	Cargill
Bobby Murphy	$1.8 B	28	Venice, CA	Snapchat
Jennifer Pritzker	$1.8 B	66	Chicago, IL	hotels, investments
Linda Pritzker	$1.8 B	63	Missoula, MT	hotels, investments
Phillip Ragon	$1.8 B	67	Boston, MA	health IT
Larry Robbins	$1.8 B	47	Alpine, NJ	hedge funds
T. Denny Sanford	$1.8 B	81	Sioux Falls, SD	banking, credit cards
Charles Simonyi	$1.8 B	68	Medina, WA	Microsoft
Lucy Stitzer	$1.8 B	57	Greenwich, CT	Cargill
Katherine Tanner	$1.8 B	61	Marathon, FL	Cargill
Vincent Viola	$1.8 B	61	New York, NY	electronic trading
Amy Wyss	$1.8 B	46	Wilson, WY	medical equipment
Jon Yarbrough	$1.8 B	59	Franklin, TN	video games
Charles Zegar	$1.8 B	69	New York, NY	Bloomberg LP
Carol Jenkins Barnett	$1.7 B	60	Lakeland, FL	Publix supermarkets
Nicolas Berggruen	$1.7 B	55	Beverly Hills, CA	investments
Timothy Boyle	$1.7 B	67	Portland, OR	Columbia Sportswear
Christopher Cline	$1.7 B	58	North Palm Beach, FL	coal
Jen-Hsun Huang	$1.7 B	54	Los Altos, CA	semiconductors
Gail Miller	$1.7 B	73	Salt Lake City, UT	basketball, car dealers
